dv,dv_label,quarter,coef,se,p_value,sig,r2,N
log_surprise,Log Surprise,2025Q4,0.2611266102406495,0.23616785849763622,0.21725249823456227,,0.07044548593303201,67008
log_surprise,Log Surprise,2024Q3,0.0,0.0,1.0,(ref),0.07044548593303201,67008
n_distinct_fields_cited,Distinct Fields,2021Q1,-1.4293150596090998,0.659835527201548,0.02285753442685312,**,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2021Q2,-0.3174074026393374,0.677550237035271,0.5665206673279348,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2021Q3,-0.5835188194793175,0.6500755522415489,0.3056382310080439,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2021Q4,-0.7265117607367588,0.6419260409576416,0.20770851783659317,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2022Q1,-0.11437788338878596,0.6468108962255529,0.8151713833699099,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2022Q2,-0.5534604720396512,0.6379966563405548,0.320343452518276,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2022Q3,-0.7331415927882837,0.6421413473450337,0.20415521920003998,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2022Q4,-0.3722778315873603,0.6403653852400054,0.4866518517215983,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2023Q1,-0.6087581858712487,0.6449060820183532,0.2839920892157628,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2023Q2,-0.24742908494613602,0.6365551287403401,0.6282324524315777,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2023Q3,-0.3595279550331523,0.6348635923946294,0.49680609970784184,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2023Q4,0.8727669277763954,0.6461849823970641,0.13971638904991002,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2024Q1,0.8929114631905662,0.6692165116505232,0.14410306354951885,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2024Q2,-0.3387596492655518,0.6465291103940863,0.5261842487846662,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2024Q4,-0.43518998431954425,0.6704026868573357,0.442707080008099,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2025Q1,0.41544467560221854,0.6827432598084064,0.46870544028845273,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2025Q2,0.20825780517708337,0.6780047215213043,0.6960771851556959,,0.12292336616433375,67008
n_distinct_fields_cited,Distinct Fields,2025Q3,1.2051259986172589,0.6749537183059027,0.056951457712751674,*,0.12292336616433375,67008
