label,N,beta1,se,t_stat,p_value,r2,r2_adj,sig,dv
Cutoff: Feb 2025,35080,-0.10857517542488794,0.03373987446744054,-3.218007687896543,0.0009477298301341364,0.14057534360260504,0.13932404014604838,***,citation_hhi
Min 5 refs,34103,-0.08322302150305755,0.03250993071042461,-2.5599261420871415,0.007796198221242445,0.14610682350051185,0.14482790211783658,***,citation_hhi
Min 10 refs,31413,-0.07936792189448212,0.033484201342880306,-2.370309540363518,0.013311132049452779,0.15150375451159892,0.1501239098472097,**,citation_hhi
Baseline,35080,7.310735879957745,4.3373072487004265,1.6855471518989662,0.07094173343505972,0.09780386355223014,0.09649028575849838,*,n_references
Binary propensity,35080,25.16934848837856,9.95786859905802,2.5275839139672414,0.008560304887216708,0.09787108929638377,0.09655760938186153,***,n_references
Drop Arts & Hum.,33973,7.463963974744867,4.38057222906831,1.7038787593127653,0.0681820407281275,0.09119349142419075,0.0898539381717649,*,n_references
Drop Psychology,32967,7.409633466546066,4.496913477702089,1.6477153726187255,0.07692895971746094,0.09983516011416005,0.09846779342336254,*,n_references
Drop A&H + Psych,31860,7.602980341785145,4.556919481911891,1.6684473737059,0.0735984908223486,0.09301668941047947,0.09161957585439995,*,n_references
Cutoff: Aug 2024,35080,4.889826256088119,4.250897982586933,1.1503043065532141,0.20112333145401595,0.09776983211168933,0.09645620476892636,,n_references
Cutoff: Feb 2025,35080,6.543200898398501,4.537897197219815,1.441901527078942,0.11717259166257099,0.09778629311884457,0.0964726897429471,,n_references
Min 5 refs,34103,6.643938173133814,4.386795859686858,1.5145309664826934,0.1013912537891275,0.09047966309496236,0.08911742594532923,,n_references
Min 10 refs,31413,2.735771091790085,4.536512227337197,0.6030560383600916,0.47226257958645457,0.07588273125548217,0.07437990989436571,,n_references
Baseline,35080,0.17000504819268494,0.06788207744290806,2.5044172865167096,0.009148024046826908,0.1425879013767588,0.14133952816019535,***,surprise_entropy
Binary propensity,35080,0.11692058973217509,0.15820516390693007,0.7390440795027264,0.38888002257345944,0.14244243657452105,0.1411938515643949,,surprise_entropy
Drop Arts & Hum.,33973,0.17136456403568348,0.06836869040038882,2.5064772051668394,0.00909434588409308,0.14589888889279035,0.1446399697383962,***,surprise_entropy
Drop Psychology,32967,0.15150919535173685,0.07087721248007954,2.137629148357371,0.024581439934718397,0.1384787262602849,0.1371700598461706,**,surprise_entropy
Drop A&H + Psych,31860,0.15259049482690884,0.0715739603081663,2.1319275078523057,0.024939026854498003,0.141626150721884,0.14030391499052197,**,surprise_entropy
Cutoff: Aug 2024,35080,0.11916264059803372,0.06682220309866527,1.7832791358597682,0.05723447063913234,0.1425102977249617,0.1412618115191827,*,surprise_entropy
Cutoff: Feb 2025,35080,0.22889281479919912,0.0712962081372554,3.2104486448781078,0.0009731314419600956,0.14268893361975676,0.1414407075039239,***,surprise_entropy
Min 5 refs,34103,0.16299100875259107,0.06865632289580616,2.374013082523348,0.013176772817755644,0.1472620747961768,0.14598488369502283,**,surprise_entropy
Min 10 refs,31413,0.14826135375424482,0.07122438798537414,2.0816093749333464,0.028294873017915556,0.1521870021780235,0.1508082686271507,**,surprise_entropy
Baseline,35080,0.0777016596867073,0.04211581660929915,1.8449519905438756,0.049780803832594867,0.12243752449269818,0.12115981276919496,**,other_field_share
Binary propensity,35080,0.12633449040216246,0.09820925024795199,1.2863807643699732,0.15754757294219823,0.12238939727295217,0.12111161547727212,,other_field_share
Drop Arts & Hum.,33973,0.07950103130233119,0.04239235291736038,1.87536255553709,0.04641710541314881,0.12004840028926678,0.11875137829806526,**,other_field_share
Drop Psychology,32967,0.0647457686898249,0.04382645189208514,1.477321706289386,0.10924731567361423,0.12157289270012894,0.12023854601872808,,other_field_share
Drop A&H + Psych,31860,0.0663967788672032,0.04421662012802748,1.5016249246313704,0.10406278942336877,0.11833853121176308,0.11698042332208614,,other_field_share
Cutoff: Aug 2024,35080,0.07872438373472551,0.041364107668264,1.9032051740626725,0.043507705784106676,0.12244341252437285,0.12116570937371451,**,other_field_share
Cutoff: Feb 2025,35080,0.10608077264011916,0.04422067164784878,2.3988955546603443,0.012304722279886882,0.12249833078032801,0.12122070758944636,**,other_field_share
Min 5 refs,34103,0.09443507768362357,0.04228390246094764,2.2333576653867615,0.019207986027586887,0.12532909133010361,0.12401905002905034,**,other_field_share
Min 10 refs,31413,0.11455093826888375,0.04330881092288051,2.644979989703787,0.006069641814576698,0.12700634404561262,0.1255866611128722,***,other_field_share
