paper_id,publication_date,year_month,field,subfield,num_authors,institutions_distinct_count,countries_distinct_count,type,language,n_references,n_references_resolved,n_distinct_fields_cited,within_field_share,citation_hhi,other_field_share,surprise_kl,surprise_entropy
https://openalex.org/W3151927327,2021-03-27,2021-03,Arts and Humanities,Religious studies,3,3,1,article,en,24,24,3,0.291667,0.482639,0.083333,0.488318,0.860206
https://openalex.org/W4229524955,2021-03-09,2021-03,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,13,11,4,0.363636,0.355372,0.0,0.466336,1.162228
https://openalex.org/W3182898371,2021-03-27,2021-03,Arts and Humanities,Religious studies,2,2,1,article,en,39,39,9,0.153846,0.355687,0.051282,0.449563,1.488642
https://openalex.org/W3140630846,2021-03-30,2021-03,Arts and Humanities,Museology,1,1,1,article,en,4,3,3,0.333333,0.333333,0.0,1.098342,1.098615
https://openalex.org/W3143821697,2021-03-22,2021-03,Arts and Humanities,Language and Linguistics,2,2,1,article,en,62,61,7,0.0,0.257726,0.016393,1.184483,1.600247
https://openalex.org/W3137120688,2021-03-15,2021-03,Arts and Humanities,Archeology,6,6,1,article,en,4,4,2,0.75,0.625,0.0,1.104786,0.562338
https://openalex.org/W3025113510,2021-03-01,2021-03,Arts and Humanities,Museology,1,1,1,article,en,9,8,3,0.375,0.34375,0.0,0.845526,1.082198
https://openalex.org/W3155110520,2021-03-01,2021-03,Arts and Humanities,Language and Linguistics,1,1,0,article,en,12,12,2,0.416667,0.513889,0.0,0.462067,0.679196
https://openalex.org/W3129680515,2021-03-15,2021-03,Arts and Humanities,Archeology,18,18,4,article,en,59,56,8,0.696429,0.503189,0.089286,0.420023,1.147614
https://openalex.org/W3135674417,2021-03-04,2021-03,Arts and Humanities,Philosophy,1,1,1,article,en,23,20,3,0.85,0.735,0.05,0.518417,0.518189
https://openalex.org/W3166615579,2021-03-30,2021-03,Arts and Humanities,Literature and Literary Theory,2,2,2,article,en,49,45,5,0.577778,0.447901,0.0,0.229384,0.990719
https://openalex.org/W3140710135,2021-03-29,2021-03,Arts and Humanities,Archeology,1,1,1,article,en,23,22,2,0.909091,0.834711,0.0,0.505827,0.304639
https://openalex.org/W3139426389,2021-03-16,2021-03,Arts and Humanities,Visual Arts and Performing Arts,1,1,0,article,en,38,37,5,0.027027,0.420015,0.0,2.269694,1.05294
